id,club,league,lat,lon,address,website
80,Kidderminster Carolians Ladies,NC2 Midlands West,52.39609029,-2.263596631,"Marlpool Ln, Kidderminster DY11 5HP",https://www.kcrfc.co.uk/
81,Stourbridge Panthers Women,NC2 Midlands West,52.46158112,-2.181153545,"Bridgnorth Rd, Stourton, Stourbridge DY7 6QZ",https://www.stourbridgerugby.com/
82,Telford Hornets Women,NC2 Midlands West,52.66770789,-2.448160845,"Hinkshay Rd, Telford TF4 3NZ",https://www.telfordhornetsrfc.co.uk/
83,Melbourne Women,NC3 Midlands North ,52.82312964,-1.438973331,"Cockshut Ln, Melbourne, Derby DE73 8DG",http://www.melbournerfc.com/
84,Doncaster Demons Women II,NC3 Midlands North ,53.53468063,-1.078606349,"Armthorpe Rd, Doncaster DN2 5QB","https://www.pitchero.com/clubs/Round Ash Park/Hand La, 63 Hand Ln, Leigh WN7 3NAdoncasterphoenix"
85,Ashfield Ladies,NC3 Midlands North ,53.11174387,-1.265674275,"Larwood Park (Ashfield RUFC, Twickenham Rd, Sutton-in-Ashfield NG17 8SF",https://www.ashfieldrufc.com/
86,Long Eaton Ladies II,NC3 Midlands North ,52.89474444,-1.286542645,"West Park Clubhouse, West Park, Long Eaton, Derbyshire NG10 4AA",https://longeatonrfc.rfu.club/
87,East Retford Women,NC3 Midlands North ,53.31310508,-0.958188473,"Ordsall Rd, Ordsall, Retford DN22 7PW",http://www.retfordrugby.com/
88,Paviors Ladies,NC3 Midlands North ,53.04798657,-1.137701345,"Burntstump Hill, Arnold, Nottingham NG5 8PQ",http://www.paviorsrfc.co.uk/
89,Shrewsbury Ladies,NC3 Midlands North West,52.72960898,-2.695559502,"Sundorne Castle, Uffington, Shrewsbury SY4 4RR",http://www.shrewsburyrufc.rfu.club/
90,Newport Salop Women,NC3 Midlands North West,52.78048048,-2.375539031,"The Old Showground, Forton Road, Newport TF10 8BU",http://www.newportsaloprufc.co.uk/
91,Stone Ladies,NC3 Midlands North West,52.87185315,-2.127868545,Stone Hockey And Rugby Club Enson Lane Stone Staffordshire ST15 0BJ United Kingdom,http://www.pitchero.com/clubs/stonehockeyclub
92,Stafford Women II,NC3 Midlands North West,52.81089476,-2.130241943,"Blackberry Ln, Stafford ST16 2TT",https://www.staffordrugby.com/
93,Newcastle Staffs Women,NC3 Midlands North West,52.99610297,-2.216172945,"Lilleshall Rd, Newcastle-under-Lyme, Newcastle ST5 3BX",https://www.pitchero.com/clubs/newcastlestaffsrufc
94,Stoke on Trent Women,NC3 Midlands North West,52.94682172,-2.1311324,"Hartwell La, Stone ST15 8TL",https://www.stokerufc.co.uk/
95,West Bridgford Women,NC1 Midlands West,52.92395604,-1.11090832,"Stamford Rd, West Bridgford, Nottingham NG2 6GF",https://www.westbridgfordrugby.com/
96,Buckingham Swans Ladies II,NC1 Midlands West,52.01232815,-0.978906,"Floyd Field, Maids Moreton, Buckingham MK18 1RF",https://www.pitchero.com/clubs/buckingham/
